Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
1.0;113189134030;2002;Parda;9.0;15;Feminino;Urbana;0;0;1;3.0;3.0;94.0
1.0;110638195470;2002;Parda;9.0;15;Feminino;Urbana;0;0;1;3.0;3.0;94.0
2.0;118990791307;2001;Parda;9.0;16;Masculino;Urbana;0;1;0;3.0;7.0;90.0
0.0;113189272696;2003;Parda;9.0;14;Feminino;Urbana;1;0;0;3.0;1.0;95.0
0.0;116701991776;2003;Parda;9.0;14;Masculino;Urbana;0;0;1;4.0;1.0;95.0
0.0;116616645478;2003;Branco;9.0;14;Masculino;Urbana;0;0;1;4.0;1.0;95.0
2.0;117445971202;2001;Parda;9.0;16;Masculino;Urbana;1;0;0;3.0;7.0;90.0
1.0;119533167946;2002;Branco;9.0;15;Feminino;Urbana;0;0;1;3.0;2.0;94.0
1.0;149935481920;2002;Branco;9.0;15;Feminino;Urbana;1;0;0;3.0;2.0;94.0
1.0;112149054476;2002;Branco;9.0;15;Feminino;Urbana;1;0;0;3.0;2.0;94.0
1.0;117594774352;2002;Branco;9.0;15;Masculino;Urbana;0;0;1;3.0;3.0;94.0
2.0;113990458069;2001;Parda;9.0;16;Masculino;Urbana;0;0;1;3.0;7.0;90.0
1.0;116550286505;2002;Branco;9.0;15;Masculino;Urbana;0;0;1;3.0;3.0;94.0
2.0;114668774307;2001;Branco;9.0;16;Feminino;Urbana;0;0;1;3.0;5.0;91.0
2.0;124335758420;2007;Parda;3.0;10;Feminino;Urbana;0;0;1;29.0;13.0;57.0
0.0;123385246406;2009;Branco;3.0;8;Masculino;Urbana;0;0;1;30.0;2.0;68.0
1.0;122942600313;2008;Preta;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
2.0;123793349518;2007;Parda;3.0;10;Feminino;Urbana;0;1;0;29.0;13.0;57.0
0.0;123816279103;2009;Parda;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
1.0;123670023207;2008;Preta;3.0;9;Masculino;Urbana;1;0;0;30.0;6.0;64.0
1.0;121688193781;2008;Parda;3.0;9;Feminino;Urbana;1;0;0;30.0;5.0;65.0
1.0;122381769420;2008;Parda;3.0;9;Feminino;Urbana;1;0;0;30.0;5.0;65.0
2.0;124335783883;2007;Parda;3.0;10;Feminino;Urbana;0;0;1;29.0;13.0;57.0
1.0;121742946649;2008;Preta;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;122428305386;2008;Preta;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
0.0;121326225072;2009;Branco;3.0;8;Masculino;Urbana;0;0;1;30.0;2.0;68.0
1.0;122841768952;2008;Branco;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
